"id,module_id,module_name,lesson_title,learning_objective,display_order,criteria_focus,is_active"
"mod1-les1,1,Understanding Extraordinary Ability,What USCIS is actually looking for,Understand how USCIS adjudicators evaluate extraordinary ability and what standard of evidence is required.,1,,t"
"mod1-les2,1,Understanding Extraordinary Ability,The criteria explained for your visa type,Learn what each criterion means in plain language and how it applies to tech professionals.,2,,t"
"mod1-les3,1,Understanding Extraordinary Ability,Reading your profile against the criteria,Map your existing achievements to the criteria and identify your strongest starting points.,3,,t"
"mod2-les1,2,Publications and Scholarly Contributions,What counts as a qualifying publication,Understand the spectrum of publications USCIS accepts and how to frame yours.,4,EB1A-06,t"
"mod2-les2,2,Publications and Scholarly Contributions,Citation counts and impact factors,Learn how to document citation counts and why they matter for your case.,5,EB1A-06,t"
"mod2-les3,2,Publications and Scholarly Contributions,Non-traditional publications,""Patents, technical blog posts, whitepapers, and open source — how to qualify these."",6,EB1A-06,t"
"mod3-les1,3,Awards and Recognition,What makes an award qualifying,Distinguish qualifying awards from participation trophies using USCIS standards.,7,EB1A-01,t"
"mod3-les2,3,Awards and Recognition,Building your awards narrative,Frame existing recognition and identify new award opportunities to pursue.,8,EB1A-01,t"
"mod4-les1,4,Press and Media Coverage,What qualifies as press coverage,Understand what major media means to USCIS and how to document it.,9,EB1A-03,t"
"mod4-les2,4,Press and Media Coverage,Getting coverage if you have none,Proactive strategies to earn qualifying press coverage in your field.,10,EB1A-03,t"
"mod5-les1,5,Judging and Peer Review,Conference reviewer and journal peer reviewer,Understand how judging roles qualify and how to document them properly.,11,EB1A-04,t"
"mod5-les2,5,Judging and Peer Review,Getting judging roles proactively,Step-by-step strategy to obtain qualifying reviewer and panel positions.,12,EB1A-04,t"
"mod6-les1,6,Critical Role Evidence,Defining critical role for USCIS,Learn what distinguished organization means and how to document a leading or critical role.,13,EB1A-07,t"
"mod6-les2,6,Critical Role Evidence,Field-specific critical role examples,""Real examples of qualifying critical roles for tech, science, and business professionals."",14,EB1A-07,t"
"mod7-les1,7,High Salary Documentation,Salary surveys and benchmarking,Which salary surveys USCIS accepts and how to frame your compensation.,15,EB1A-08,t"
"mod7-les2,7,High Salary Documentation,Total compensation and equity,""How to document total compensation including equity, bonuses, and perks."",16,EB1A-08,t"
"mod8-les1,8,Original Contributions,Defining original contributions,What counts as an original contribution of major significance and how to document it.,17,EB1A-05,t"
"mod8-les2,8,Original Contributions,Expert letters for contributions,How expert witness letters validate and amplify original contribution claims.,18,EB1A-05,t"
"mod9-les1,9,Recommendation Letter Strategy,Who to ask and why,Dependent vs independent recommenders — who counts more and why.,19,,t"
"mod9-les2,9,Recommendation Letter Strategy,What each letter must say,The specific content USCIS expects from recommendation letters and how to brief recommenders.,20,,t"
"mod10-les1,10,NIW: Substantial Merit and National Importance,Framing your proposed endeavor,How to define and articulate your proposed endeavor for the Dhillon test.,21,NIW-01,t"
"mod10-les2,10,NIW: Well-Positioned Prong,Proving you are well-positioned,Evidence that demonstrates your unique ability to advance your proposed endeavor.,22,NIW-03,t"
"mod11-les1,11,Case Readiness and Filing,Assessing your 3-criteria minimum,How to objectively evaluate whether your case meets the filing threshold.,23,,t"
"mod11-les2,11,Case Readiness and Filing,Working with an immigration attorney,How to select and brief an attorney and what Pinnacle³ prepares you to bring them.,24,,t"
